Month,Day,2015,2016,2017,2018
JAN,1,107,89,107,95
JAN,2,101,88,108,107
JAN,3,78,79,115,92
JAN,4,121,90,81,108
JAN,5,99,80,79,94
JAN,6,104,96,90,87
JAN,7,79,92,116,97
JAN,8,73,77,108,85
JAN,9,90,86,81,91
JAN,10,75,90,85,89
JAN,11,88,86,77,94
JAN,12,85,81,75,92
JAN,13,74,79,84,107
JAN,14,98,87,103,90
JAN,15,88,94,104,93
JAN,16,111,99,103,103
JAN,17,92,92,85,83
JAN,18,90,83,94,96
JAN,19,101,81,91,75
JAN,20,98,100,88,99
JAN,21,105,81,102,91
JAN,22,71,87,90,95
JAN,23,82,92,95,67
JAN,24,84,100,87,93
JAN,25,83,92,96,86
JAN,26,83,98,94,93
JAN,27,73,91,81,86
JAN,28,87,98,99,91
JAN,29,73,92,97,88
JAN,30,78,90,97,82
JAN,31,73,72,82,72
JAN,Total,2744,2742,2894,2821
JAN,Avg,89,88,93,91
JAN,Max,121,100,116,108
JAN,Min,71,77,75,67
JAN,Med,88,90,94,92
FEB,1,66,111,93,82
FEB,2,114,95,88,113
FEB,3,95,119,68,93
FEB,4,87,89,76,76
FEB,5,84,109,71,67
FEB,6,93,87,81,90
FEB,7,79,94,94,79
FEB,8,94,94,82,81
FEB,9,80,79,105,104
FEB,10,77,102,79,99
FEB,11,109,92,89,86
FEB,12,93,88,86,85
FEB,13,86,97,67,89
FEB,14,67,84,86,91
FEB,15,79,93,85,86
FEB,16,101,78,73,83
FEB,17,81,85,86,78
FEB,18,75,79,87,76
FEB,19,94,107,89,87
FEB,20,79,72,84,71
FEB,21,71,83,78,85
FEB,22,90,83,81,89
FEB,23,85,83,79,81
FEB,24,95,102,82,96
FEB,25,93,73,75,97
FEB,26,77,82,76,95
FEB,27,66,93,91,99
FEB,28,93,69,84,90
FEB,29,NA,70,NA,NA
FEB,Total,2403,2592,2315,2448
FEB,Avg,86,89,83,87
FEB,Max,114,119,105,113
FEB,Min,66,69,67,67
FEB,Med,86,88,83,87
MAR,1,82,73,73,110
MAR,2,92,69,89,95
MAR,3,95,67,57,103
MAR,4,77,88,90,85
MAR,5,75,77,92,94
MAR,6,90,69,78,90
MAR,7,76,85,78,80
MAR,8,80,80,81,79
MAR,9,68,69,93,79
MAR,10,80,77,97,84
MAR,11,79,84,95,96
MAR,12,72,72,81,94
MAR,13,80,85,89,99
MAR,14,67,83,69,94
MAR,15,71,77,69,85
MAR,16,89,80,82,92
MAR,17,75,69,91,63
MAR,18,82,77,70,78
MAR,19,92,95,82,81
MAR,20,76,94,82,79
MAR,21,81,90,76,85
MAR,22,62,83,89,80
MAR,23,79,82,73,95
MAR,24,64,81,78,79
MAR,25,75,86,88,81
MAR,26,77,82,80,66
MAR,27,73,78,88,83
MAR,28,76,70,67,80
MAR,29,86,78,73,65
MAR,30,94,77,72,89
MAR,31,62,81,72,80
MAR,Total,2427,2458,2494,2643
MAR,Avg,78,79,80,85
MAR,Max,95,95,97,110
MAR,Min,62,67,57,63
MAR,Med,78,79,81,85
APR,1,70,79,89,87
APR,2,85,53,94,65
APR,3,80,77,81,67
APR,4,88,92,92,88
APR,5,84,75,57,93
APR,6,82,68,72,84
APR,7,66,84,80,76
APR,8,57,88,88,67
APR,9,73,65,86,78
APR,10,66,73,88,68
APR,11,80,83,86,75
APR,12,93,65,82,77
APR,13,74,68,74,78
APR,14,71,84,77,67
APR,15,86,74,74,75
APR,16,79,80,80,66
APR,17,74,77,79,70
APR,18,71,82,73,80
APR,19,74,62,82,72
APR,20,66,75,84,67
APR,21,73,73,70,70
APR,22,71,64,71,71
APR,23,70,88,84,67
APR,24,67,73,73,53
APR,25,80,81,90,77
APR,26,72,68,81,77
APR,27,69,76,65,69
APR,28,87,73,64,80
APR,29,67,77,97,82
APR,30,84,64,79,72
APR,Total,2259,2241,2392,2218
APR,Avg,75,75,80,74
APR,Max,93,92,97,93
APR,Min,57,53,57,53
APR,Med,74,75,81,74
MAY,1,66,74,62,83
MAY,2,87,59,93,65
MAY,3,77,74,73,71
MAY,4,70,53,80,67
MAY,5,81,84,62,82
MAY,6,89,68,59,82
MAY,7,82,71,87,78
MAY,8,79,79,70,83
MAY,9,85,80,87,66
MAY,10,84,81,57,80
MAY,11,78,68,69,80
MAY,12,64,85,78,81
MAY,13,66,69,86,74
MAY,14,74,62,81,68
MAY,15,81,76,85,73
MAY,16,71,67,94,59
MAY,17,78,67,85,72
MAY,18,70,83,74,73
MAY,19,71,72,77,62
MAY,20,78,89,70,65
MAY,21,88,78,83,63
MAY,22,64,81,84,57
MAY,23,65,87,68,61
MAY,24,87,85,81,38
MAY,25,57,82,83,60
MAY,26,90,67,91,46
MAY,27,65,80,88,47
MAY,28,64,69,62,29
MAY,29,79,77,72,19
MAY,30,66,69,71,8
MAY,31,84,76,78,0
MAY,Total,2340,2312,2390,1892
MAY,Avg,75,75,77,61
MAY,Max,90,89,94,119
MAY,Min,57,53,57,119
MAY,Med,78,75,79,121
JUN,1,68,74,75,0
JUN,2,76,71,75,0
JUN,3,62,70,82,0
JUN,4,65,102,83,0
JUN,5,82,80,78,0
JUN,6,79,84,70,0
JUN,7,59,74,96,0
JUN,8,65,77,65,0
JUN,9,66,76,61,0
JUN,10,80,77,72,0
JUN,11,58,97,79,0
JUN,12,74,70,95,0
JUN,13,76,81,80,0
JUN,14,61,90,82,0
JUN,15,78,66,77,0
JUN,16,69,93,97,0
JUN,17,87,68,80,0
JUN,18,71,90,74,0
JUN,19,81,77,79,0
JUN,20,65,83,76,0
JUN,21,79,70,75,0
JUN,22,82,76,77,0
JUN,23,73,67,83,0
JUN,24,81,77,86,0
JUN,25,66,77,88,0
JUN,26,84,71,82,0
JUN,27,69,85,74,0
JUN,28,64,82,88,0
JUN,29,61,77,62,0
JUN,30,64,73,78,0
JUN,Total,2145,2355,2369,0
JUN,Avg,72,79,79,NA
JUN,Max,87,102,97,NA
JUN,Min,58,66,61,NA
JUN,Med,70,77,79,NA
JUL,1,71,84,78,0
JUL,2,67,75,82,0
JUL,3,85,69,82,0
JUL,4,94,102,65,0
JUL,5,63,82,83,0
JUL,6,77,103,74,0
JUL,7,80,82,71,0
JUL,8,83,72,73,0
JUL,9,82,74,60,0
JUL,10,71,77,71,0
JUL,11,75,89,74,0
JUL,12,68,71,65,0
JUL,13,87,82,89,0
JUL,14,80,84,80,0
JUL,15,82,62,76,0
JUL,16,63,83,89,0
JUL,17,79,77,85,0
JUL,18,87,84,68,0
JUL,19,75,67,71,0
JUL,20,102,95,65,0
JUL,21,76,71,68,0
JUL,22,72,58,95,0
JUL,23,79,70,83,0
JUL,24,74,83,84,0
JUL,25,70,90,66,0
JUL,26,74,91,78,0
JUL,27,75,77,72,0
JUL,28,71,82,80,0
JUL,29,68,69,84,0
JUL,30,80,70,90,0
JUL,31,72,81,66,0
JUL,Total,2382,2456,2367,0
JUL,Avg,77,79,76,NA
JUL,Max,102,103,95,NA
JUL,Min,63,58,60,NA
JUL,Med,76,80,77,NA
AGO,1,69,65,105,0
AGO,2,72,79,73,0
AGO,3,74,78,87,0
AGO,4,92,78,82,0
AGO,5,81,54,79,0
AGO,6,83,62,70,0
AGO,7,81,78,74,0
AGO,8,89,78,67,0
AGO,9,77,75,71,0
AGO,10,74,62,73,0
AGO,11,63,76,79,0
AGO,12,87,89,77,0
AGO,13,83,77,87,0
AGO,14,72,80,70,0
AGO,15,88,69,79,0
AGO,16,58,73,71,0
AGO,17,79,72,66,0
AGO,18,71,79,70,0
AGO,19,90,76,77,0
AGO,20,77,76,70,0
AGO,21,81,73,76,0
AGO,22,75,87,65,0
AGO,23,85,68,69,0
AGO,24,100,64,73,0
AGO,25,79,82,66,0
AGO,26,73,72,73,0
AGO,27,70,73,97,0
AGO,28,73,67,57,0
AGO,29,80,76,80,0
AGO,30,78,69,62,0
AGO,31,73,65,76,0
AGO,Total,2427,2272,2321,0
AGO,Avg,78,73,75,NA
AGO,Max,100,89,105,NA
AGO,Min,58,54,57,NA
AGO,Med,79,76,73,NA
SEP,1,75,75,94,0
SEP,2,77,67,69,0
SEP,3,67,78,80,0
SEP,4,71,99,84,0
SEP,5,62,89,74,0
SEP,6,77,74,83,0
SEP,7,85,67,87,0
SEP,8,84,77,94,0
SEP,9,79,90,72,0
SEP,10,66,73,98,0
SEP,11,92,78,92,0
SEP,12,79,66,80,0
SEP,13,81,88,100,0
SEP,14,70,81,79,0
SEP,15,87,91,84,0
SEP,16,70,71,80,0
SEP,17,70,68,88,0
SEP,18,76,79,78,0
SEP,19,81,82,75,0
SEP,20,69,79,106,0
SEP,21,70,67,124,0
SEP,22,68,97,110,0
SEP,23,70,71,109,0
SEP,24,78,79,122,0
SEP,25,60,75,137,0
SEP,26,76,82,132,0
SEP,27,78,82,122,0
SEP,28,84,81,112,0
SEP,29,83,70,131,0
SEP,30,73,91,132,0
SEP,Total,2258,2367,2928,0
SEP,Avg,75,79,98,NA
SEP,Max,92,99,137,NA
SEP,Min,60,66,69,NA
SEP,Med,76,78.5,93,NA
OCT,1,74,90,104,0
OCT,2,84,67,108,0
OCT,3,77,82,121,0
OCT,4,99,78,117,0
OCT,5,96,82,112,0
OCT,6,68,78,126,0
OCT,7,66,85,106,0
OCT,8,79,77,97,0
OCT,9,73,76,90,0
OCT,10,74,86,97,0
OCT,11,90,77,98,0
OCT,12,82,79,93,0
OCT,13,71,70,98,0
OCT,14,75,73,101,0
OCT,15,77,78,94,0
OCT,16,80,77,77,0
OCT,17,69,75,86,0
OCT,18,84,68,90,0
OCT,19,73,72,107,0
OCT,20,77,79,87,0
OCT,21,79,74,84,0
OCT,22,77,101,102,0
OCT,23,74,68,97,0
OCT,24,78,69,98,0
OCT,25,72,63,94,0
OCT,26,60,71,96,0
OCT,27,71,67,107,0
OCT,28,75,73,100,0
OCT,29,76,78,88,0
OCT,30,88,79,95,0
OCT,31,75,65,70,0
OCT,Total,2393,2357,3040,0
OCT,Avg,77,76,98,NA
OCT,Max,99,101,126,NA
OCT,Min,60,63,70,NA
OCT,Med,76,77,97,NA
NOV,1,77,84,82,0
NOV,2,71,72,95,0
NOV,3,83,74,72,0
NOV,4,58,97,91,0
NOV,5,66,77,83,0
NOV,6,70,97,83,0
NOV,7,62,77,88,0
NOV,8,73,77,85,0
NOV,9,73,82,82,0
NOV,10,62,73,79,0
NOV,11,74,85,99,0
NOV,12,77,79,87,0
NOV,13,77,79,84,0
NOV,14,78,90,87,0
NOV,15,77,79,86,0
NOV,16,74,76,75,0
NOV,17,81,78,98,0
NOV,18,62,84,96,0
NOV,19,79,100,77,0
NOV,20,90,82,98,0
NOV,21,64,91,81,0
NOV,22,91,71,95,0
NOV,23,83,87,87,0
NOV,24,81,82,115,0
NOV,25,80,66,86,0
NOV,26,70,91,80,0
NOV,27,102,87,102,0
NOV,28,85,89,98,0
NOV,29,49,90,99,0
NOV,30,99,88,101,0
NOV,Total,2268,2484,2671,0
NOV,Avg,76,83,89,NA
NOV,Max,102,100,115,NA
NOV,Min,49,66,72,NA
NOV,Med,77,82,87,NA
DEC,1,82,77,91,0
DEC,2,87,88,88,0
